Time(s),CTSresistance,HeartRate(1/min),RespirationRate(1/min),MeanArterialPressure(mmHg)
100.02,0,109.27,17.65,75.7
200.02,0,109.24,17.65,75.7
300.02,0,109.20,17.75,75.8
400.02,0,109.16,17.75,75.8
500.02,0,109.06,17.75,75.8
600.02,0,109.03,17.75,75.9
700.02,0,108.91,17.75,75.9
800.02,0,108.84,17.75,75.9
900.02,0,108.73,17.75,76.0
1000.02,0,108.61,17.75,76.0
1100.02,0,108.53,17.75,76.1
1200.02,0,108.35,17.75,76.2
1300.02,0,108.24,17.75,76.2
1400.02,0,108.32,17.65,76.0
1500.02,0,108.06,17.54,76.3
1600.02,0,108.16,17.54,76.1
1700.02,0,107.80,17.54,76.4
1800.02,0,108.02,17.54,76.1
1900.02,0,107.91,17.44,76.2
2000.02,0,107.81,17.54,76.2
2100.02,0,107.52,17.65,76.4
2200.02,0,107.80,17.65,76.1
2300.02,0,107.78,17.44,76.0
2400.02,0,107.61,17.54,76.1
2500.02,0,107.61,17.65,76.1
2600.02,0,107.40,17.65,76.3
2700.02,0,107.57,17.65,76.0
2800.02,0,107.58,17.54,76.0
2900.02,0,107.48,17.54,76.0
3000.02,0,107.39,17.65,76.1
3100.02,0,107.40,17.65,76.1
3200.02,0,107.23,17.75,76.2
3300.02,0,107.42,17.75,75.9
3400.02,0,107.39,17.54,75.9
3500.02,0,107.31,17.65,76.0
3600.02,0,107.27,17.75,76.0
3700.02,0,105.82,17.75,77.2
3800.02,0,105.87,17.65,77.1
3900.02,0,105.78,17.65,77.2
4000.02,0,105.67,17.75,77.3
4100.02,0,105.74,17.75,77.2
4200.02,0,105.67,17.65,77.2
4300.02,0,105.59,17.75,77.4
4400.02,0,105.56,17.75,77.3
4500.02,0,105.62,17.75,77.2
4600.02,0,105.47,17.75,77.4
4700.02,0,105.47,17.86,77.4
4800.02,0,105.55,17.75,77.3
4900.02,0,105.37,17.75,77.5
5000.02,0,105.34,17.86,77.5
5100.02,0,105.44,17.75,77.4
5200.02,0,105.31,17.75,77.5
5300.02,0,105.26,17.86,77.6
5400.02,0,105.37,17.75,77.5
5500.02,0,105.26,17.75,77.5
5600.02,0,105.19,17.86,77.7
5700.02,0,105.26,17.86,77.6
5800.02,0,105.24,17.75,77.6
5900.02,0,105.13,17.86,77.7
6000.02,0,105.14,17.86,77.7
6100.02,0,105.23,17.86,77.6
6200.02,0,105.08,17.86,77.7
6300.02,0,105.02,17.86,77.8
6400.02,0,105.16,17.86,77.6
6500.02,0,105.11,17.86,77.7
6600.02,0,104.96,17.86,77.8
6700.02,0,105.06,17.86,77.7
6800.02,0,105.08,17.86,77.7
6900.02,0,104.96,17.86,77.9
7000.02,0,105.01,17.96,77.8
7100.02,0,105.04,17.86,77.7
7200.02,0,104.91,17.86,77.9
7300.02,0,104.89,17.96,77.9
7400.02,0,105.00,17.86,77.8
7500.02,0,104.95,17.86,77.9
7600.02,0,104.88,17.96,77.9
7700.02,0,104.98,17.96,77.8
7800.02,0,104.93,17.86,77.8
7900.02,0,104.83,17.96,78.0
8000.02,0,104.86,17.96,77.9
8100.02,0,104.96,17.86,77.8
8200.02,0,104.83,17.96,78.0
8300.02,0,104.81,17.96,78.0
8400.02,0,104.93,17.96,77.8
8500.02,0,104.85,17.96,78.0
8600.02,0,104.78,17.96,78.0
8700.02,0,104.90,17.96,77.9
8800.02,0,104.88,17.96,77.9
8900.02,0,104.77,17.96,78.1
9000.02,0,104.87,17.96,77.9
9100.02,0,104.90,17.96,77.9
9200.02,0,104.76,17.96,78.1
9300.02,0,104.78,18.07,78.0
9400.02,0,104.87,17.96,77.9
9500.02,0,104.76,17.96,78.0
9600.02,0,104.75,18.07,78.1
9700.02,0,104.85,17.96,77.9
9800.02,0,104.80,17.96,78.0
9900.02,0,104.74,18.07,78.1
10000.02,0,104.83,18.07,78.0
10100.02,0,104.83,17.96,78.0
10200.02,0,104.74,18.07,78.1
10300.02,0,104.77,18.07,78.0
10400.02,0,104.84,17.96,78.0
10500.02,0,104.74,18.07,78.1
10600.02,0,104.71,18.07,78.1
10700.02,0,104.83,18.07,78.0
10800.02,0,104.70,18.07,78.1
10900.02,0,104.67,18.07,78.2
11000.02,0,104.78,18.07,78.0
11100.02,0,104.73,17.96,78.1
11200.02,0,104.68,18.07,78.2
11300.02,0,104.77,18.07,78.1
11400.02,0,104.84,17.96,78.0
11500.02,0,104.72,18.07,78.2
11600.02,0,104.73,18.07,78.1
11700.02,0,104.83,18.07,78.0
11800.02,0,104.70,18.07,78.1
11900.02,0,104.66,18.18,78.2
12000.02,0,104.80,18.07,78.0
12100.02,0,104.74,18.07,78.1
12200.02,0,104.67,18.07,78.2
12300.02,0,104.80,18.07,78.1
12400.02,0,104.78,18.07,78.1
12500.02,0,104.66,18.07,78.2
12600.02,0,104.77,18.07,78.1
12700.02,0,104.81,18.07,78.1
12800.02,0,104.70,18.07,78.2
12900.02,0,104.76,18.18,78.1
13000.02,0,104.80,18.07,78.0
13100.02,0,104.69,18.07,78.2
13200.02,0,104.70,18.18,78.2
13300.02,0,104.82,18.07,78.1
13400.02,0,104.75,18.07,78.2
13500.02,0,104.70,18.18,78.2
13600.02,0,104.80,18.07,78.1
13700.02,0,104.75,18.07,78.1
13800.02,0,104.72,18.18,78.2
13900.02,0,104.81,18.18,78.1
14000.02,0,104.79,18.07,78.1
14100.02,0,104.70,18.18,78.2
14200.02,0,104.76,18.18,78.2
14300.02,0,104.85,18.07,78.1
14400.02,0,104.73,18.18,78.2
14500.02,0,104.70,18.18,78.2
14600.02,0,104.84,18.07,78.1
14700.02,0,104.75,18.18,78.2
14800.02,0,104.73,18.18,78.2
14900.02,0,104.82,18.18,78.1
15000.02,0,104.75,18.07,78.2
15100.02,0,104.74,18.18,78.2
15200.02,0,104.81,18.18,78.1
15300.02,0,104.80,18.07,78.1
15400.02,0,104.74,18.18,78.2
15500.02,0,104.80,18.18,78.2
15600.02,0,104.86,18.07,78.1
15700.02,0,104.74,18.18,78.2
15800.02,0,104.74,18.18,78.2
15900.02,0,104.90,18.18,78.1
16000.02,0,104.78,18.18,78.2
16100.02,0,104.73,18.18,78.3
16200.02,0,104.88,18.18,78.1
16300.02,0,104.81,18.18,78.2
16400.02,0,104.73,18.18,78.3
16500.02,0,104.84,18.18,78.2
16600.02,0,104.87,18.18,78.1
16700.02,0,104.76,18.18,78.3
16800.02,0,104.80,18.18,78.2
16900.02,0,104.91,18.18,78.1
17000.02,0,104.79,18.18,78.3
17100.02,0,104.77,18.29,78.3
17200.02,0,104.92,18.18,78.1
17300.02,0,104.81,18.18,78.2
17400.02,0,104.74,18.29,78.3
17500.02,0,104.91,18.18,78.1
17600.02,0,104.84,18.18,78.2
17700.02,0,104.76,18.18,78.3
17800.02,0,104.92,18.18,78.1
17900.02,0,104.88,18.18,78.2
18000.02,0,104.77,18.18,78.3
18100.02,0,104.91,18.18,78.2
18200.02,0,104.92,18.18,78.2
18300.02,0,104.79,18.18,78.3
18400.02,0,104.89,18.29,78.2
18500.02,0,104.93,18.18,78.1
18600.02,0,104.81,18.18,78.3
18700.02,0,104.86,18.29,78.3
18800.02,0,104.94,18.18,78.1
18900.02,0,104.84,18.18,78.3
19000.02,0,104.86,18.29,78.3
19100.02,0,104.92,18.18,78.2
19200.02,0,104.87,18.18,78.2
19300.02,0,104.86,18.29,78.3
19400.02,0,104.92,18.18,78.2
19500.02,0,104.94,18.18,78.2
19600.02,0,104.85,18.29,78.3
19700.02,0,104.90,18.29,78.2
19800.02,0,104.98,18.18,78.2
19900.02,0,104.87,18.18,78.3
20000.02,0,104.89,18.29,78.2
20100.02,0,105.00,18.18,78.2
20200.02,0,104.87,18.18,78.3
20300.02,0,104.89,18.29,78.3
20400.02,0,104.99,18.18,78.2
20500.02,0,104.90,18.18,78.3
20600.02,0,104.91,18.29,78.3
20700.02,0,104.98,18.18,78.2
20800.02,0,104.94,18.18,78.2
20900.02,0,104.93,18.29,78.3
21000.02,0,104.96,18.29,78.2
21100.02,0,105.00,18.18,78.2
21200.02,0,104.91,18.29,78.3
21300.02,0,104.94,18.29,78.2
21400.02,0,105.02,18.18,78.2
21500.02,0,104.89,18.29,78.3
21600.02,0,104.94,18.29,78.3
21700.02,0,147.35,18.07,89.1
21800.02,0,105.86,18.07,78.6
21900.02,0,105.23,18.40,78.5
22000.02,0,105.23,18.29,78.4
22100.02,0,105.35,18.18,78.3
22200.02,0,105.23,18.29,78.5
22300.02,0,105.22,18.29,78.4
22400.02,0,105.37,18.18,78.3
22500.02,0,105.24,18.18,78.5
22600.02,0,105.26,18.29,78.5
22700.02,0,105.34,18.29,78.3
22800.02,0,105.28,18.18,78.4
22900.02,0,105.27,18.29,78.5
23000.02,0,105.31,18.29,78.4
23100.02,0,105.34,18.18,78.4
23200.02,0,105.26,18.29,78.4
23300.02,0,105.32,18.29,78.4
23400.02,0,105.36,18.18,78.3
23500.02,0,105.28,18.29,78.5
23600.02,0,105.29,18.29,78.5
23700.02,0,105.38,18.18,78.3
23800.02,0,105.31,18.29,78.5
23900.02,0,105.27,18.29,78.5
24000.02,0,105.42,18.29,78.3
24100.02,0,105.31,18.18,78.5
24200.02,0,105.28,18.29,78.5
24300.02,0,105.38,18.29,78.4
24400.02,0,105.33,18.18,78.4
24500.02,0,105.33,18.29,78.5
24600.02,0,105.34,18.29,78.4
24700.02,0,105.40,18.18,78.4
24800.02,0,105.32,18.29,78.5
24900.02,0,105.33,18.29,78.5
25000.02,0,105.44,18.18,78.3
25100.02,0,105.33,18.29,78.5
25200.02,0,105.33,18.29,78.5
25300.02,0,105.45,18.29,78.3
25400.02,0,105.39,18.29,78.5
25500.02,0,105.34,18.29,78.5
25600.02,0,105.48,18.29,78.4
25700.02,0,105.40,18.18,78.4
25800.02,0,105.40,18.29,78.5
25900.02,0,105.44,18.29,78.4
26000.02,0,105.50,18.18,78.3
26100.02,0,105.43,18.29,78.4
26200.02,0,105.44,18.29,78.4
26300.02,0,105.56,18.29,78.3
26400.02,0,105.45,18.29,78.4
26500.02,0,105.45,18.29,78.5
26600.02,0,105.55,18.29,78.3
26700.02,0,105.51,18.29,78.4
26800.02,0,105.44,18.29,78.4
26900.02,0,105.59,18.29,78.3
27000.02,0,105.49,18.29,78.4
27100.02,0,105.49,18.29,78.4
27200.02,0,105.54,18.29,78.4
27300.02,0,105.59,18.18,78.3
27400.02,0,105.50,18.29,78.4
27500.02,0,105.54,18.29,78.4
27600.02,0,105.65,18.29,78.3
27700.02,0,105.54,18.29,78.4
27800.02,0,105.54,18.29,78.4
27900.02,0,105.66,18.29,78.2
28000.02,0,105.59,18.29,78.4
28100.02,0,105.53,18.29,78.4
28200.02,0,105.68,18.29,78.3
28300.02,0,105.57,18.29,78.4
28400.02,0,105.59,18.29,78.4
28500.02,0,105.63,18.29,78.3
28600.02,0,105.69,18.29,78.3
28700.02,0,105.58,18.29,78.4
28800.02,0,105.64,18.29,78.4
28900.02,0,105.70,18.29,78.2
29000.02,0,105.64,18.29,78.4
29100.02,0,105.59,18.29,78.4
29200.02,0,105.76,18.29,78.2
29300.02,0,105.64,18.29,78.3
29400.02,0,105.64,18.29,78.4
29500.02,0,105.73,18.29,78.3
29600.02,0,105.72,18.29,78.3
29700.02,0,105.64,18.29,78.4
29800.02,0,105.74,18.29,78.3
29900.02,0,105.74,18.29,78.3
30000.02,0,105.66,18.29,78.4
30100.02,0,105.68,18.29,78.4
30200.02,0,105.79,18.29,78.2
30300.02,0,105.69,18.29,78.4
30400.02,0,105.67,18.29,78.4
30500.02,0,105.82,18.29,78.2
30600.02,0,105.73,18.29,78.3
30700.02,0,105.70,18.29,78.4
30800.02,0,105.79,18.29,78.3
30900.02,0,105.79,18.29,78.3
31000.02,0,105.71,18.29,78.4
31100.02,0,105.77,18.29,78.3
31200.02,0,105.81,18.29,78.2
31300.02,0,105.75,18.29,78.4
31400.02,0,105.71,18.29,78.4
31500.02,0,105.87,18.29,78.2
31600.02,0,105.76,18.29,78.3
31700.02,0,105.75,18.29,78.4
31800.02,0,105.83,18.29,78.3
31900.02,0,105.84,18.29,78.3
32000.02,0,105.74,18.29,78.4
32100.02,0,105.83,18.29,78.3
32200.02,0,105.85,18.29,78.2
32300.02,0,105.81,18.29,78.4
32400.02,0,105.75,18.29,78.4
32500.02,0,105.93,18.29,78.2
32600.02,0,105.80,18.29,78.3
32700.02,0,105.80,18.29,78.4
32800.02,0,105.87,18.29,78.3
32900.02,0,105.89,18.29,78.3
33000.02,0,105.78,18.29,78.4
33100.02,0,105.87,18.40,78.3
33200.02,0,105.91,18.29,78.2
33300.02,0,105.85,18.29,78.4
33400.02,0,105.78,18.29,78.4
33500.02,0,105.96,18.29,78.2
33600.02,0,105.86,18.29,78.3
33700.02,0,105.84,18.29,78.4
33800.02,0,105.89,18.29,78.3
33900.02,0,105.95,18.29,78.2
34000.02,0,105.83,18.29,78.4
34100.02,0,105.84,18.40,78.4
34200.02,0,105.96,18.29,78.2
34300.02,0,105.92,18.29,78.3
34400.02,0,105.83,18.29,78.4
34500.02,0,105.96,18.29,78.3
34600.02,0,105.94,18.29,78.2
34700.02,0,105.89,18.29,78.4
34800.02,0,105.84,18.40,78.4
34900.02,0,106.01,18.29,78.2
35000.02,0,105.90,18.29,78.3
35100.02,0,105.88,18.29,78.4
35200.02,0,105.96,18.29,78.3
35300.02,0,106.00,18.29,78.3
